"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","63517"
"be handle coronavirus",12, 0.00019
"be [number] COVID-19",12, 0.00019
"acquire coronavirus",12, 0.00019
"visit coronavirus",11, 0.00018
"violate coronavirus",11, 0.00018
"tumble as coronavirus",11, 0.00018
"trigger by coronavirus",11, 0.00018
"think this coronavirus",11, 0.00018
"test COVID-19",11, 0.00018
"target COVID-19",11, 0.00018
"take COVID-19",11, 0.00018
"tackle novel coronavirus",11, 0.00018
"suspect a coronavirus",11, 0.00018
"strike by coronavirus",11, 0.00018
"stem from coronavirus",11, 0.00018
"say China coronavirus",11, 0.00018
"release from coronavirus",11, 0.00018
"reel from coronavirus",11, 0.00018
"recover novel coronavirus",11, 0.00018
"raise the coronavirus",11, 0.00018
"produce a coronavirus",11, 0.00018
"mitigate coronavirus",11, 0.00018
"mishandle the coronavirus",11, 0.00018
"insist the coronavirus",11, 0.00018
"help the coronavirus",11, 0.00018
"have warn coronavirus",11, 0.00018
"handle of coronavirus",11, 0.00018
"grow novel coronavirus",11, 0.00018
"follow COVID-19",11, 0.00018
"evaluate for coronavirus",11, 0.00018
"establish a coronavirus",11, 0.00018
"eliminate the coronavirus",11, 0.00018
"drop on coronavirus",11, 0.00018
"diagnose novel coronavirus",11, 0.00018
"develop novel coronavirus",11, 0.00018
"detect with coronavirus",11, 0.00018
"designate the coronavirus",11, 0.00018
"deem the coronavirus",11, 0.00018
"come to COVID-19",11, 0.00018
"catch the COVID-19",11, 0.00018
"calm coronavirus",11, 0.00018
"believe that COVID-19",11, 0.00018
"be in coronavirus",11, 0.00018
"be how coronavirus",11, 0.00018
"attribute to coronavirus",11, 0.00018
"assume coronavirus",11, 0.00018
"approve coronavirus",11, 0.00018
"admit coronavirus",11, 0.00018
"widen coronavirus",10, 0.00016
"use as coronavirus",10, 0.00016
"test the coronavirus",10, 0.00016
"target the coronavirus",10, 0.00016
"suspect the coronavirus",10, 0.00016
"stop the COVID-19",10, 0.00016
"step up coronavirus",10, 0.00016
"speak on coronavirus",10, 0.00016
"slip as coronavirus",10, 0.00016
"shout "" coronavirus",10, 0.00016
"say . COVID-19",10, 0.00016
"report that COVID-19",10, 0.00016
"report novel coronavirus",10, 0.00016
"receive a coronavirus",10, 0.00016
"ravage coronavirus",10, 0.00016
"provide the coronavirus",10, 0.00016
"play down coronavirus",10, 0.00016
"overcome the COVID-19",10, 0.00016
"offer coronavirus",10, 0.00016
"mislead coronavirus",10, 0.00016
"lead a coronavirus",10, 0.00016
"know COVID-19",10, 0.00016
"isolate over coronavirus",10, 0.00016
"inhibit the coronavirus",10, 0.00016
"include the COVID-19",10, 0.00016
"import the coronavirus",10, 0.00016
"hurt by coronavirus",10, 0.00016
"help prevent coronavirus",10, 0.00016
"have see coronavirus",10, 0.00016
"have report COVID-19",10, 0.00016
"have new coronavirus",10, 0.00016
"have get coronavirus",10, 0.00016
"happen with COVID-19",10, 0.00016
"halt coronavirus",10, 0.00016
"fuel by coronavirus",10, 0.00016
"find that COVID-19",10, 0.00016
"estimate that COVID-19",10, 0.00016
"defy coronavirus",10, 0.00016
"counter COVID-19",10, 0.00016
"contact the coronavirus",10, 0.00016
"concern about COVID-19",10, 0.00016
"concern COVID-19",10, 0.00016
"compare COVID-19",10, 0.00016
"classify coronavirus",10, 0.00016
"cite COVID-19",10, 0.00016
"check for COVID-19",10, 0.00016
"carry out coronavirus",10, 0.00016
"be about coronavirus",10, 0.00016
"arrive from coronavirus",10, 0.00016
"announce first coronavirus",10, 0.00016
"aid novel coronavirus",10, 0.00016
"afflict with coronavirus",10, 0.00016
"affect with COVID-19",10, 0.00016
"work with coronavirus",9, 0.00015
"work on COVID-19",9, 0.00015
"weather coronavirus",9, 0.00015
"watch for coronavirus",9, 0.00015
"wait for coronavirus",9, 0.00015
"treat suspected coronavirus",9, 0.00015
"trap in coronavirus",9, 0.00015
"think that coronavirus",9, 0.00015
"think COVID-19",9, 0.00015
"take on coronavirus",9, 0.00015
"take against coronavirus",9, 0.00015
"state the coronavirus",9, 0.00015
